country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montenegro,−0.7,−0.7,−0.8,−0.8,−1.2,−1,−1.1,0,0.7,−2.9,−0.3,0.5,−0.9,1.2
Mongolia,0,0,−1.2,−1.2,−1.3,1.2,1.6,1.1,0,0,−1.2,0,0,−0.2
Mozambique,1.05,1.05,−2.95,−2.95,0,−0.2,−1.1,−1.1,−0.6,−5.8,0,−1.7,−2,−1.4
Mauritania,3.95,3.95,−0.25,−0.25,3.1,0,0,0,−2.1,0,−1.4,0,1,0
Mauritius,0,0,0,0,0,1.3,0,0,1.1,0,−0.6,0,0,−0.8
Malawi,0.8,0.8,3.55,3.55,0,2.4,−0.8,−3.4,−1.1,0,−0.6,0,0.1,2.4
Malaysia,1.9,1.9,−0.85,−0.85,0,2.2,0.8,0,−0.6,1.1,0,3.4,2.8,0.3
Namibia,−0.3,−0.3,−1.25,−1.25,0.1,0,0,0,0.7,0,0,−0.6,1.8,0.9
Niger,−0.65,−0.65,−0.15,−0.15,7.8,0,−0.8,−0.6,−1.7,1.1,−2,0,−4.7,0
Nigeria,0.05,0.05,−0.3,−0.3,3.6,−0.6,0,−0.1,8.6,−1.2,−0.6,0,−3.2,−0.2
Nicaragua,1.95,1.95,−1.7,−1.7,−1.7,0,−1,−1.4,−0.6,−4.5,−1.5,−10.3,−0.8,0.5
Netherlands,−0.65,−0.65,−2.7,−2.7,0,0,−1.5,0.8,0,−1.2,0.9,0,1.2,−0.5
Norway,0.65,0.65,0.6,0.6,0,1.3,0,0,0,0,−0.6,0,0,−0.6
Nepal,3.15,3.15,0.95,0.95,0,−0.8,6.1,0,0,0.9,3.2,0,1,−0.6
New Zealand,0.9,0.9,0.35,0.35,0,0,0,0,0,0,0,0,0,−0.1
Oman,1.05,1.05,−0.6,−0.6,4,0,0,−1.1,−1.1,0,0,0,0.2,−0.6
Pakistan,2.7,2.7,0.45,0.45,0,0.2,0.7,0,−2.4,−0.7,−0.7,−0.9,0.8,0.6
Panama,0,0,−1,−1,−0.7,0,0,0,1.1,−0.6,−0.5,−0.3,0,1.3
Peru,1,1,0.45,0.45,1.9,−1.2,0.7,0,0.4,0.7,−1.6,1.1,0,−0.7
Philippines,−1.8,−1.8,0,0,0,1.8,1.1,3.6,0.7,1,−2.3,0,−0.7,−0.8
Papua New Guinea,0,0,0,0,−2.2,0,0.4,−3.3,0,0,0,0,0,0.7
Poland,0,0,−1.25,−1.25,0.7,0,0,3.5,−3.8,−2.6,−1.6,0,−0.5,2.3
North Korea,−0.85,−0.85,1.1,1.1,0,0,0,0,0,0,0,0,0,0
Portugal,−0.55,−0.55,−0.15,−0.15,−2.1,1.1,−2.7,1.4,0,0.7,−0.2,0,1.9,−1.3
Paraguay,1.2,1.2,0,0,0,−1.4,0,0,0.7,−0.6,0.4,−0.7,0,−0.6
Palestine,−0.9,−0.9,−1.95,−1.95,−4.7,−1.7,0,−0.8,−1.5,−0.8,−0.3,−0.7,−5,−0.6
Qatar,0.7,0.7,0.85,0.85,0.9,0,0,0,0,0,0.1,0,0,0.5
Romania,0,0,−2.3,−2.3,−0.6,0,0,1.4,0,−0.6,−1.8,−0.6,1.1,−0.9
Russia,−2.7,−2.7,−1.1,−1.1,−3.4,−1.8,−1.5,−2,−0.8,−0.7,−0.7,−2.3,1.7,2
Rwanda,−0.55,−0.55,−2.3,−2.3,0,1.1,0.2,−1.3,−1.8,0,1.2,1.6,−1.9,−0.6
Saudi Arabia,−0.1,−0.1,−0.3,−0.3,−0.7,−0.6,1.1,0,1.1,0,0,0,0,1.5
Sudan,−0.45,−0.45,−1.95,−1.95,−0.4,0,1.6,0,−1.7,0,−2.2,0,5.5,−1.6
Senegal,0,0,−0.5,−0.5,2.4,5.8,0.6,0,−0.7,1.3,−0.6,0,−3.4,−1.4
Singapore,0,0,0,0,0,−0.1,0.4,1.1,1.1,2.4,−0.6,0.6,−3.6,0.1
Sierra Leone,2.7,2.7,2,2,0,2,−0.7,−0.8,−0.1,0,1.1,0,2,0
El Salvador,0.9,0.9,0.35,0.35,0,0,0.6,0,1.1,0,−2.1,−4.7,1.9,−2.5
Serbia,−0.65,−0.65,−0.8,−0.8,0,0,3.4,0.4,0,−1.4,−1.6,0,0,−1.9
Suriname,0.3,0.3,0.35,0.35,0,0,1.2,0,0,0,−0.1,2.2,0,−1.6
Slovak Republic,−0.35,−0.35,0.1,0.1,0,0,0,0,−0.6,0,−1.3,−0.6,0.7,−2
Slovenia,0,0,−1.35,−1.35,0.7,1.2,0,−3.1,0,−0.6,−0.1,0,0,0.4
Sweden,0,0,−1.9,−1.9,0,2.3,0,0,−2.8,−0.6,0,0,0,−1.3
Eswatini,0.55,0.55,−0.7,−0.7,3.6,−0.6,0,−1.1,0,−0.6,0,0,1.1,−0.6
Syria,−0.9,−0.9,0.65,0.65,−3.2,−3.6,2.3,−1.2,−3.1,0,0,0,0,0
Chad,−0.65,−0.65,0,0,1,0,−1.2,0,0,0,0,1.1,0,−0.6
Togo,3.4,3.4,5.1,5.1,0,0,0,0,−0.4,−0.9,−2.7,0.5,2,−5
